linear,linear_error,circular,circular_error,frequency,filename,snr,rm,rm_left,rm_right
61.73,4.83,18.88,4.18,1127.92,burst1,24.34,4753.83,1.66,-1.69
69.22,10.42,5.76,8.58,1125.47,burst214,11.67,4612.52,1.74,-1.75
85.86,3.58,9.06,2.72,1346.34,burst4,36.86,4651.49,2.87,-2.87
75.73,4.85,10.39,3.89,1099.4,burst6,25.84,4669.85,1.64,-1.62
52.22,6.76,13.68,6.05,1075.28,burst7,16.69,4723.51,1.58,-1.56
